oripathologie;commentaire;auteur;fr;cn;ar;th;ro;pl;pt;ja;it;es;de;en;
# commentaires.csv V1.0.1 - 26/12/2025 13:46:08;;;;;;;;;;;;;;;
activateur;L'activateur stimule la croissance mandibulaire, idéal pour les classes II.;gpt4o;L'activateur stimule la croissance mandibulaire, idéal pour les classes II.;激活器可刺激下颌骨生长，是 II 类患者的理想选择。;يحفز المنشط نمو الفك السفلي، وهو مثالي لمرضى الفئة الثانية.;ตัวกระตุ้นช่วยกระตุ้นการเจริญเติบโตของขากรรไกรล่าง เหมาะสำหรับกรณี Class II;Activatorul stimulează creșterea mandibulară, ideal pentru pacienții din clasa II.;Aktywator stymuluje wzrost żuchwy, idealny dla pacjentów klasy II.;O ativador estimula o crescimento mandibular, ideal para pacientes de Classe II.;アクチベーターは下顎の成長を促し、クラスⅡの患者に理想的です。;L'attivatore stimola la crescita mandibolare, ideale per i pazienti di Classe II.;El activador estimula el crecimiento mandibular, ideal para pacientes de Clase II.;Der Aktivator regt das Unterkieferwachstum an, ideal für Klasse II.;The activator stimulates mandibular growth, ideal for Class II patients.;
agénésie;Considérer une solution prothétique ou orthodontique pour compenser l'absence dentaire.;gpt4o;Considérer une solution prothétique ou orthodontique pour compenser l'absence dentaire.;考虑采用修复或正畸方案来弥补牙齿缺失。;فكر في حل تعويضي أو تقويمي لتعويض الأسنان المفقودة.;พิจารณาทางเลือกในการใช้ฟันปลอมหรือการจัดฟันเพื่อชดเชยฟันที่หายไป;Luați în considerare o soluție protetică sau ortodontică pentru a compensa lipsa dinților.;Rozważ rozwiązanie protetyczne lub ortodontyczne, aby zrekompensować braki w uzębieniu.;Considerar uma solução protética ou ortodôntica para compensar a falta de dentes.;失った歯を補うために、補綴や矯正を検討する。;Considerare una soluzione protesica o ortodontica per compensare i denti mancanti.;Considere una solución protésica u ortodóncica para compensar la falta de dientes.;Ziehen Sie eine prothetische oder kieferorthopädische Lösung in Betracht, um das Fehlen von Zähnen zu kompensieren.;Consider a prosthetic or orthodontic solution to compensate for missing teeth.;
alignement;Surveillez la rotation et l'inclinaison. ajustements précis pour l'alignement optimal.;gpt4o;Surveillez la rotation et l'inclinaison. ajustements précis pour l'alignement optimal.;显示器旋转和倾斜，精确调节，实现最佳校准。;مراقبة الدوران والإمالة. تعديلات دقيقة لمحاذاة مثالية.;ตรวจสอบการหมุนและการเอียง ปรับได้อย่างแม่นยำเพื่อการจัดตำแหน่งที่เหมาะสมที่สุด;Rotirea și înclinarea monitorului. Ajustări precise pentru aliniere optimă.;Obracanie i pochylanie monitora. Precyzyjna regulacja zapewniająca optymalne ustawienie.;Rotação e inclinação do monitor. Ajustes precisos para um alinhamento ótimo.;モニターの回転とチルト。 最適なアライメントのための正確な調整。;Rotazione e inclinazione del monitor. Regolazioni precise per un allineamento ottimale.;Rotación e inclinación del monitor. Ajustes precisos para una alineación óptima.;Überwachen Sie die Rotation und Neigung. Präzise Anpassungen für die optimale Ausrichtung.;Monitor rotation and tilt. Precise adjustments for optimum alignment.;
ankylose;Ankylose compromet le déplacement orthodontique. nécessite une approche chirurgicale.;gpt4o;Ankylose compromet le déplacement orthodontique. nécessite une approche chirurgicale.;强直会影响正畸运动，需要进行手术。;يؤثر القُسط على حركة تقويم الأسنان ويتطلب جراحة.;ภาวะข้อติดแข็งส่งผลต่อการเคลื่อนฟันทางทันตกรรมจัดฟัน ต้องใช้วิธีการผ่าตัด;Anchiloza compromite mișcarea ortodontică și necesită intervenție chirurgicală.;Ankyloza upośledza ruch ortodontyczny i wymaga operacji.;A anquilose compromete o movimento ortodôntico e requer cirurgia.;強直症は歯列矯正の動きを損ない、手術が必要となる。;L'anchilosi compromette il movimento ortodontico e richiede un intervento chirurgico.;La anquilosis compromete el movimiento ortodóncico y requiere cirugía.;Ankylose gefährdet die kieferorthopädische Bewegung. erfordert einen chirurgischen Ansatz.;Ankylosis compromises orthodontic movement and requires surgery.;
apnée du sommeil;Considérer un appareil d'avancement mandibulaire pour soulager l'apnée obstructive.;gpt4o;Considérer un appareil d'avancement mandibulaire pour soulager l'apnée obstructive.;考虑使用下颌前突矫正器来缓解阻塞性呼吸暂停。;ضع في اعتبارك استخدام جهاز تقدم الفك السفلي لتخفيف انقطاع النفس الانسدادي.;พิจารณาใช้อุปกรณ์เลื่อนขากรรไกรล่างเพื่อบรรเทาภาวะหยุดหายใจขณะหลับจากการอุดกั้น;Luați în considerare un aparat de avansare mandibulară pentru ameliorarea apneei obstructive.;Rozważ zastosowanie aparatu wysuwającego żuchwę w celu złagodzenia obturacyjnego bezdechu.;Considerar um aparelho de avanço mandibular para aliviar a apneia obstrutiva.;閉塞性無呼吸を緩和するために下顎前突装置を考慮する。;Considerare un apparecchio di avanzamento mandibolare per alleviare l'apnea ostruttiva.;Considerar un aparato de avance mandibular para aliviar la apnea obstructiva.;Ziehen Sie einen Unterkiefervorschubapparat in Betracht, um die obstruktive Apnoe zu lindern.;Consider a mandibular advancement appliance to relieve obstructive apnoea.;
arc;L'arc orthodontique stabilise et guide le mouvement dentaire, essentiel pour l'alignement correct.;gpt4o;L'arc orthodontique stabilise et guide le mouvement dentaire, essentiel pour l'alignement correct.;正畸牙弓可以稳定和引导牙齿移动，这对牙齿的正确排列至关重要。;يعمل قوس تقويم الأسنان على تثبيت وتوجيه حركة الأسنان، وهو أمر ضروري للمحاذاة الصحيحة.;การปรับโครงฟันช่วยให้ฟันเคลื่อนที่อย่างมั่นคงและถูกต้อง ซึ่งเป็นสิ่งจำเป็นสำหรับการจัดฟันให้เรียงตัวอย่างถูกต้อง;Arcada ortodontică stabilizează și ghidează mișcarea dinților, care este esențială pentru alinierea corectă.;Łuk ortodontyczny stabilizuje i kieruje ruchem zębów, co jest niezbędne do ich prawidłowego ustawienia.;A arcada ortodôntica estabiliza e orienta o movimento dos dentes, o que é essencial para um alinhamento correto.;矯正アーチは歯の動きを安定させ、正しい歯並びに必要不可欠なガイドとなります。;L'arco ortodontico stabilizza e guida il movimento dei denti, essenziale per un corretto allineamento.;El arco ortodóncico estabiliza y guía el movimiento de los dientes, lo que es esencial para una alineación correcta.;Der kieferorthopädische Bogen stabilisiert und führt die Zahnbewegung, die für die korrekte Ausrichtung entscheidend ist.;L'orthodontic arch stabilise and guide the movement dentaire, essentiel for l'alignment correct.;
arcade;Surveillez l'expansion transverse pour éviter les déséquilibres occlusaux.;gpt4o;Surveillez l'expansion transverse pour éviter les déséquilibres occlusaux.;监控横向扩张，避免咬合失衡。;مراقبة التمدد العرضي لتجنب الاختلالات الإطباقية.;ติดตามการขยายตัวในแนวนอนเพื่อหลีกเลี่ยงความไม่สมดุลจากการสบฟัน;Monitorizați expansiunea transversală pentru a evita dezechilibrele ocluzale.;Monitoruj ekspansję poprzeczną, aby uniknąć nierównowagi zgryzu.;Monitorizar a expansão transversal para evitar desequilíbrios oclusais.;咬合のアンバランスを避けるため、横方向の拡張を監視する。;Monitorare l'espansione trasversale per evitare squilibri occlusali.;Controlar la expansión transversal para evitar desequilibrios oclusales.;Achten Sie auf die Transversalexpansion, um okklusale Unwuchten zu vermeiden.;Surveillez l'expansion transverse for éviter the déséquilibres occlusaux.;
arthrose;Surveillez l'occlusion et envisagez des gouttières pour soulager les ATM affectées.;gpt4o;Surveillez l'occlusion et envisagez des gouttières pour soulager les ATM affectées.;监测咬合情况，并考虑使用夹板缓解受影响的颞下颌关节。;راقب العضة وفكر في استخدام الجبائر لتخفيف المفصل الصدغي الفكي الصدغي المصاب.;ติดตามการอุดตันและพิจารณาใช้เฝือกเพื่อบรรเทาข้อต่อขากรรไกรที่ได้รับผลกระทบ;Monitorizați mușcătura și luați în considerare atelele pentru a ușura ATM-urile afectate.;Należy monitorować zgryz i rozważyć zastosowanie szyn w celu odciążenia dotkniętych stawów skroniowo-żuchwowych.;Monitorizar a mordida e considerar talas para aliviar as articulações temporomandibulares afectadas.;咬み合わせを観察し、顎関節を緩和するためのスプリントを検討する。;Monitorare il morso e prendere in considerazione bite per alleviare le ATM interessate.;Vigilar la mordida y considerar el uso de férulas para aliviar las ATM afectadas.;Beobachten Sie die Okklusion und ziehen Sie Schienen in Betracht, um die betroffenen Kiefergelenke zu entlasten.;Surveillez l'occlusion and envisagez some gouttières for soulager the atm affectées.;
asymétrie faciale;Évaluer la croissance mandibulaire et maxillaire, envisager des appareils fonctionnels.;gpt4o;Évaluer la croissance mandibulaire et maxillaire, envisager des appareils fonctionnels.;评估下颌和上颌发育情况，考虑功能性矫治器。;تقييم نمو الفك السفلي والفك العلوي، والنظر في الأجهزة الوظيفية.;ประเมินการเจริญเติบโตของขากรรไกรล่างและขากรรไกรบน พิจารณาอุปกรณ์เพื่อแก้ไขการทำงาน;Evaluați creșterea mandibulară și maxilară, luați în considerare aparatele funcționale.;Ocena wzrostu żuchwy i szczęki, rozważenie aparatów funkcjonalnych.;Avaliar o crescimento mandibular e maxilar, considerar aparelhos funcionais.;下顎と上顎の成長を評価し、機能的な器具を検討する。;Valutare la crescita mandibolare e mascellare, considerare gli apparecchi funzionali.;Evaluar el crecimiento mandibular y maxilar, considerar aparatos funcionales.;Beurteilen Sie das Wachstum von Unter- und Oberkiefer, ziehen Sie funktionelle Geräte in Betracht.;Évaluer the growth mandibular and maxilla, envisager some functional devices.;
