# translations_sections1-2_reviewed.csv V1.0.0 - 22/01/2026 15:09:00
# Format : id;section;tag;context;fr;en;status
# status : TODO = à réviser, OK = validé, SKIP = ne pas traduire
"id";"section";"tag";"context";"fr";"en";"status"
"txt_0001";"presentation";"h2";"titre_section";"📋 1. Présentation générale";"📋 1. General Overview";"OK"
"txt_0002";"presentation";"p";"paragraphe";"Kitview est une médiathèque numérique conçue pour les cabinets d'orthodontie. Elle permet de gérer tous types de fichiers multimédia associés aux dossiers patients :";"Kitview is a digital media library designed for orthodontic practices. It allows you to manage all types of multimedia files associated with patient records:";"OK"
"txt_0003";"presentation";"caption";"légende_image";"Interface principale de Kitview avec la liste des patients et les vignettes";"Kitview main interface showing the patient list and thumbnails";"OK"
"txt_0004";"presentation";"li";"liste";"**Photos** : portraits, photos intra-buccales, photos de face/profil";"**Photos**: portraits, intraoral photos, frontal/profile views";"OK"
"txt_0005";"presentation";"li";"liste";"**Radios** : panoramiques, téléradiographies";"**X-rays**: panoramic radiographs, cephalometric radiographs";"OK"
"txt_0006";"presentation";"li";"liste";"**Scans 3D** : modèles numériques";"**3D Scans**: digital models";"OK"
"txt_0007";"presentation";"li";"liste";"**Documents** : PDF, courriers, compte-rendus";"**Documents**: PDFs, letters, reports";"OK"
"txt_0008";"presentation";"li";"liste";"**Vidéos et audio**";"**Videos and audio**";"OK"
"txt_0009";"presentation";"note";"note_tip";"💡 Conseil | Kitview s'intègre avec votre logiciel de gestion de cabinet pour synchroniser automatiquement la liste des patients.";"💡 Tip | Kitview integrates with your practice management software to automatically synchronize the patient list.";"OK"
"txt_0010";"gestion-patients";"h2";"titre_section";"👥 2. Gestion des patients";"👥 2. Patient Management";"OK"
"txt_0011";"gestion-patients";"h3";"sous_titre";"Créer un nouveau patient";"Create a New Patient";"OK"
"txt_0012";"gestion-patients";"h3";"sous_titre";"Supprimer une fiche patient";"Delete a Patient Record";"OK"
"txt_0013";"gestion-patients";"h3";"sous_titre";"Photo d'identité";"ID Photo";"OK"
"txt_0014";"gestion-patients";"p";"paragraphe";"Pour créer une nouvelle fiche patient dans Kitview :";"To create a new patient record in Kitview:";"OK"
"txt_0015";"gestion-patients";"p";"paragraphe";"Pour définir ou modifier la photo d'identité d'un patient :";"To set or change a patient's ID photo:";"OK"
"txt_0016";"gestion-patients";"caption";"légende_image";"Fenêtre de création d'un nouveau patient";"New patient creation window";"OK"
"txt_0017";"gestion-patients";"caption";"légende_image";"Menu contextuel pour définir la photo d'identité";"Context menu for setting the ID photo";"OK"
"txt_0018";"gestion-patients";"li";"liste";"Cliquez sur l'onglet **« Patient »**";"Click on the **"Patient"** tab";"OK"
"txt_0019";"gestion-patients";"li";"liste";"Une fenêtre s'ouvre : remplissez les informations (Nom, Prénom, Date de naissance, Sexe)";"A window opens: fill in the information (Last name, First name, Date of birth, Gender)";"OK"
"txt_0020";"gestion-patients";"li";"liste";"Cliquez sur **« Valider »**";"Click **"Confirm"**";"OK"
"txt_0021";"gestion-patients";"li";"liste";"Cliquez sur **« Paramètres »**";"Click **"Settings"**";"OK"
"txt_0022";"gestion-patients";"li";"liste";"Cliquez sur **« Administration »** puis **« Général »**";"Click **"Administration"** then **"General"**";"OK"
"txt_0023";"gestion-patients";"li";"liste";"Cochez **« Passer en mode administration »**";"Check **"Switch to administration mode"**";"OK"
"txt_0024";"gestion-patients";"li";"liste";"Sélectionnez le patient à supprimer";"Select the patient to delete";"OK"
"txt_0025";"gestion-patients";"li";"liste";"Cliquez sur **« Patient »** → **« Supprimer le patient sélectionné »**";"Click **"Patient"** → **"Delete selected patient"**";"OK"
"txt_0026";"gestion-patients";"li";"liste";"Sélectionnez le patient dans la liste";"Select the patient from the list";"OK"
"txt_0027";"gestion-patients";"li";"liste";"Cliquez sur la photo que vous souhaitez utiliser comme photo d'identité";"Click on the photo you want to use as the ID photo";"OK"
"txt_0028";"gestion-patients";"li";"liste";"Faites un **clic droit** sur la photo";"**Right-click** on the photo";"OK"
"txt_0029";"gestion-patients";"li";"liste";"Sélectionnez **« Patient »** → **« Photo d'identité »**";"Select **"Patient"** → **"ID Photo"**";"OK"
"txt_0030";"gestion-patients";"note";"note_warning";"⚠️ Attention | La suppression d'une fiche patient est définitive et supprime également toutes les photos et documents associés. Cette action nécessite le mode Administration.";"⚠️ Warning | Deleting a patient record is permanent and also deletes all associated photos and documents. This action requires Administration mode.";"OK"
