type;fr;en;de;es;it;ja;pt;pl;ro;th;ar;cn;# glossaire.csv V1.1.0 - 07/01/2026 12:41:28
# glossaire.csv V1.0.3 - 07/01/2026 12:49:44;;;;;;;;;;;;;
a;amovible;removable;abnehmbar;extraíble;rimovibile;リムーバブル;amovível;usuwalny;detașabil;ถอดออกได้;قابل للإزالة;可拆卸;
a;amovibles;removable;abnehmbar;extraíble;rimovibile;リムーバブル;amovível;usuwalny;detașabil;ถอดออกได้;قابل للإزالة;可拆卸;
a;antérieur;previous;früher;anterior;precedente;前,前方;anterior;poprzedni;anterior;ด้านหน้า;السابق;以前;
a;antérieurs;previous;frühere;anterior;precedente;前;anterior;poprzedni;anterior;ก่อนหน้า;السابق;以前;
a;atypique;atypical;atypisch;atípico;atipico;非定型;atípico;nietypowy;atipice;ไม่ปกติ;غير نمطية;非典型;
a;atypiques;atypical;atypisch;atípico;atipico;非定型;atípico;nietypowy;atipice;ไม่ปกติ;غير نمطية;非典型;
a;bactérien;bacterial;bakteriell;bacteriana;batterico;バクテリア;bacteriana;bakteryjny;bacterian;แบคทีเรีย;جرثومي;细菌性;
a;bactériennes;bacterial;bakteriell;bacteriana;batterico;バクテリア;bacteriana;bakteryjny;bacterian;แบคทีเรีย;جرثومي;细菌性;
a;bactériens;bacterial;bakteriell;bacteriana;batterico;バクテリア;bacteriana;bakteryjny;bacterian;แบคทีเรีย;جرثومي;细菌性;
a;bénin;benin;benin;benin;Benin;ベナン;benim;Benin;benin;ไม่ร้ายแรง;بنين;贝宁;
a;bénins;benign;gutartig;benigno;benigno;良性;benigno;łagodny;benign;ไม่ร้ายแรง;حميدة;良性;
a;bilatéral;bilateral;bilateral;bilateral;bilaterale;二国間;bilateral;dwustronny;bilateral;สองฝ่าย;ثنائية;双边;
a;bilatérale;bilateral;bilateral;bilateral;bilaterale;二国間;bilateral;dwustronny;bilateral;สองฝ่าย;ثنائية;双边;
a;bilatérales;bilateral;bilaterale;bilateral;bilaterale;二国間;bilateral;dwustronny;bilateral;สองฝ่าย;ثنائية;双边;
a;bilatéraux;bilateral;bilaterale;bilateral;bilaterale;二国間;bilateral;dwustronny;bilateral;สองฝ่าย;ثنائية;双边;
a;central;central;central;central;centrale;セントラル;central;centralny;central;ศูนย์กลาง;مركزي;中央;
a;centrale;power plant;Zentrale;central eléctrica;centrale elettrica;発電所;central eléctrica;elektrownia;centrală electrică;โรงไฟฟ้า;محطة توليد الكهرباء;发电厂;
a;centrales;power plants;Kraftwerke;centrales eléctricas;centrali elettriche;発電所;centrais eléctricas;elektrownie;centrale electrice;โรงไฟฟ้า;محطات توليد الطاقة;发电厂;
a;centraux;central;Zentralen;central;centrale;セントラル;central;centralny;central;ศูนย์กลาง;مركزي;中央;
a;complet;complete;vollständig;completa;completo;完全;completo;kompletny;complet;สมบูรณ์;كاملة;完整;
a;complets;complete;vollständig;completa;completo;完全;completo;kompletny;complet;สมบูรณ์;كاملة;完整;
a;différé;deferred;aufgeschoben;aplazado;differito;延期;diferido;odroczony;amânată;เลื่อนออกไป;مؤجل;递延;
a;différée;deferred;aufgeschoben;aplazado;differito;延期;diferido;odroczony;amânată;เลื่อนออกไป;مؤجل;递延;
a;différées;deferred;aufgeschoben;aplazado;differito;延期;diferido;odroczony;amânată;เลื่อนออกไป;مؤجل;递延;
a;différés;deferred;abgegrenzt;aplazado;differito;延期;diferido;odroczony;amânată;เลื่อนออกไป;مؤجل;递延;
a;digital;digital;digital;digital;digitale;デジタル;digital;cyfrowy;digitale;ดิจิทัล;رقمي;数字;
a;digitale;digital;digital;digital;digitale;デジタル;digital;cyfrowy;digitale;ดิจิทัล;رقمي;数字;
a;digitales;digital;digital;digital;digitale;デジタル;digital;cyfrowy;digitale;ดิจิทัล;رقمي;数字;
a;digitaux;digital;digital;digital;digitale;デジタル;digital;cyfrowy;digitale;ดิจิทัล;رقمي;数字;
a;diurne;diurnal;tagsüber;diurno;diurno;昼行性;diurno;dzienny;diurnă;รายวัน;نهاري;周日;
a;diurnes;diurnal;tagsüber;diurno;diurno;昼行性;diurno;dzienny;diurnă;รายวัน;نهاري;周日;
a;division 1;division 1;Division 1;división 1;Divisione 1;第1部門;divisão 1;Dział 1;divizia 1;แผนก 1;القسم 1;第一类;
a;division 2;division 2;Abteilung 2;división 2;Divisione 2;ディビジョン2;divisão 2;dział 2;divizia 2;แผนก 2;القسم 2;二级;
a;droit;right;Recht;derecha;diritto;右;correto;prawo;corect;กฎหมาย;صحيح;对;
a;droite;right;rechts;derecha;diritto;右;correto;prawo;corect;ถูกต้อง;صحيح;对;
a;droites;straight;Geraden;recto;dritto;ストレート;direito;prosty;direct;เส้นตรง;مستقيم;直截了当的;
a;droits;rights;Rechte;derechos;diritti;権利;direitos;prawa;drepturi;สิทธิ;الحقوق;权利;
a;encombré;crowded;überfüllt;atestado;affollato;満員;lotado;zatłoczony;aglomerat;รก;مزدحمة;簇拥;
a;encombrée;cluttered;überfüllt;desordenado;disordinato;がしゃがしゃ;desordenado;zagracony;aglomerat;รก;فوضى;杂乱;
a;encombrées;cluttered;überfüllt;desordenado;disordinato;がしゃがしゃ;desordenado;zagracony;aglomerat;รก;فوضوي;杂乱;
a;encombrés;cluttered;belastet;desordenado;disordinato;がしゃがしゃ;desordenado;zagracony;aglomerat;รก;فوضى;杂乱;
a;fixe;fixed;fest;fijo;fisso;固定;fixo;stały;fixat;แก้ไขแล้ว;ثابت;固定的;
a;fixes;fixed;fest;fijo;fisso;固定;fixo;stały;fixat;แก้ไขแล้ว;ثابت;固定的;
a;frontal;front;frontal;frente;fronte;フロント;frente;przód;față;ด้านหน้า;الواجهة;战线;
a;frontale;front;frontal;frente;fronte;フロント;frente;przód;față;ด้านหน้า;الواجهة;战线;
a;frontales;frontal;frontales;frontal;frontale;前額部;frontal;czołowy;frontal;ด้านหน้า;الجبهي;额叶;
a;frontaux;front-ends;Fronten;front-ends;front-end;フロントエンド;front-ends;front-endy;front-end-uri;หน้า;الواجهات الأمامية;前端;
a;gauche;left;links;izquierda;sinistra;左;esquerda;lewy;stânga;ซ้าย;يسار;左侧;
a;gauches;left;links;izquierda;sinistra;左;esquerda;lewy;stânga;ฝ่ายซ้าย;يسار;左侧;
a;idéal;ideal;ideal;ideal;ideale;理想的;ideal;idealny;ideal;เหมาะสมที่สุด;مثالية;天造地设;
a;idéale;ideal;ideal;ideal;ideale;理想的;ideal;idealny;ideal;เหมาะสมที่สุด;مثالية;天造地设;
a;idéales;ideal;ideal;ideal;ideale;理想的;ideal;idealny;ideal;เหมาะสมที่สุด;مثالية;天造地设;
a;idéaux;ideals;Ideale;ideales;ideali;理想;ideais;ideały;idealuri;อุดมคติ;المُثُل;理想;
a;immédiat;immediate;sofort;inmediato;immediato;即時;imediato;natychmiastowy;imediat;ทันที;فوري;直接;
a;immédiate;immediate;sofort;inmediato;immediato;即時;imediato;natychmiastowy;imediat;ทันที;فوري;直接;
a;immédiates;immediate;sofort;inmediato;immediato;即時;imediato;natychmiastowy;imediat;ทันที;فوري;直接;
a;immédiats;immediate;sofort;inmediato;immediato;即時;imediato;natychmiastowy;imediat;ทันที;فوري;直接;
a;incisif;incisive;einschneidend;incisivo;incisivo;鋭い;incisivo;wyrazisty;incisiv;เฉียบแหลม;قاطعة;透彻;
