"id";"fr";"en";"EN";"d";"D";"i";"I";"e";"E"
"txt_0001";"Kitview - Manuel d'utilisation (Standard)";"Kitview - User manual (Standard)";"";"[=]";"";"[X]";"";"[X]";""
"txt_0002";"Kitview - Manuel d'utilisation v1.5 (Standard) - Janvier 2026 - Pages 1-100 (complet)";"Kitview - User manual v1.5 (Standard) - January 2026 - Pages 1-100 (complete)";"";"[X]";"";"[X]";"";"[X]";""
"txt_0003";"◀ Préc.";"◀ Prec.";"";"[=]";"";"[X]";"";"[X]";""
"txt_0004";"Suiv. ▶";"Next. ▶";"";"[=]";"";"[X]";"";"[X]";""
"txt_0005";"✓ OK";"✓ OK";"";"[X]";"";"[X]";"";"[X]";""
"txt_0006";"← Retour";"← Back";"";"[=]";"";"[X]";"";"[X]";""
"txt_0007";"Rechercher dans le manuel...";"Search the manual...";"";"[=]";"";"[X]";"";"[X]";""
"txt_0008";"Langue du manuel";"Manual language";"";"[X]";"";"[X]";"";"[X]";""
"txt_0009";"Sélectionnez une langue";"Select a language";"";"[=]";"";"[X]";"";"[X]";""
"txt_0010";"Sommaire";"Contents";"";"[=]";"";"[X]";"";"[X]";""
"txt_0011";"📋 1. Présentation générale";"📋 1. General presentation";"";"[=]";"";"[X]";"";"[X]";""
"txt_0012";"👥 2. Gestion des patients";"👥 2. Patient management";"";"👥 2. Gérer vos patients (comme un carnet d'adresses)

Cette section vous aide à organiser toutes les informations de vos patients, comme vous le feriez avec un carnet d'adresses ou un fichier client. Ne vous inquiétez pas, c'est très simple ! Vous pourrez ajouter de nouveaux patients, retrouver leurs informations et suivre leur traitement orthodontique facilement.";"";"[X]";"";"[X]";""
"txt_0013";"🎨 3. Personnalisation de l'interface";"🎨 3. Customising the interface";"";"🎨 3. Personnaliser l'apparence de votre écran

Ne vous inquiétez pas, personnaliser Kitview c'est comme réarranger les meubles dans votre bureau pour vous sentir plus à l'aise. Vous pouvez modifier l'apparence de votre écran pour qu'il vous convienne parfaitement. C'est très simple et vous pouvez toujours revenir en arrière si quelque chose ne vous plaît pas.";"";"[X]";"";"[X]";""
"txt_0014";"📥 4. Import / Export de documents";"4. document import/export";"";"📥 4. Transférer vos photos et documents

Cette fonction vous permet de récupérer des photos depuis un autre appareil (comme votre appareil photo ou téléphone) ou de sauvegarder vos dossiers patients ailleurs. C'est comme faire des copies de vos albums photo pour les conserver en sécurité ou les partager avec un confrère.";"";"[X]";"";"[X]";""
"txt_0015";"📷 5. Séances photos";"📷 5. Photo shoots";"";"[=]";"";"[X]";"";"[X]";""
